"stat_log_id"	"stat_name"	"team"	"player"	"contributor"	"stat_value"	"assist"	"success"	"offense"	"shot"	"contested"	"rebound"	"opponent_player"	"schedule_id"	"video_time"	"created_date"
1	Basket	Campolindo	"5 - Luke Hickey"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:01:43	2024-01-08 00:00:22.623
2	Basket	Campolindo	"11 - Micah Kaufman"	true	2		Make	Half Court	Jumper		Defensive	""	3	00:01:43	2024-01-08 00:00:22.623
3	Basket	Campolindo	"15 - Thomas Berg III"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:01:43	2024-01-08 00:00:22.623
4	Basket	Campolindo	"24 - Sean Parker"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:01:43	2024-01-08 00:00:22.623
5	Basket	Campolindo	"25 - Noah Henry"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:01:43	2024-01-08 00:00:22.623
6	Basket	Campolindo	"5 - Luke Hickey"	false	3		Make	Half Court	Jumper		Defensive	""	3	00:02:04	2024-01-08 00:00:22.623
7	Basket	Campolindo	"11 - Micah Kaufman"	true	3		Make	Half Court	Jumper		Defensive	""	3	00:02:04	2024-01-08 00:00:22.623
8	Basket	Campolindo	"15 - Thomas Berg III"	false	3		Make	Half Court	Jumper		Defensive	""	3	00:02:04	2024-01-08 00:00:22.623
9	Basket	Campolindo	"24 - Sean Parker"	false	3		Make	Half Court	Jumper		Defensive	""	3	00:02:04	2024-01-08 00:00:22.623
10	Basket	Campolindo	"25 - Noah Henry"	false	3		Make	Half Court	Jumper		Defensive	""	3	00:02:04	2024-01-08 00:00:22.623
11	Basket	Campolindo	"5 - Luke Hickey"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:03:23	2024-01-08 00:00:22.623
12	Basket	Campolindo	"11 - Micah Kaufman"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:03:23	2024-01-08 00:00:22.623
13	Basket	Campolindo	"15 - Thomas Berg III"	true	2		Make	Half Court	Jumper		Defensive	""	3	00:03:23	2024-01-08 00:00:22.623
14	Basket	Campolindo	"24 - Sean Parker"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:03:23	2024-01-08 00:00:22.623
15	Basket	Campolindo	"25 - Noah Henry"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:03:23	2024-01-08 00:00:22.623
16	Basket	Campolindo	"5 - Luke Hickey"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:03:47	2024-01-08 00:00:22.623
17	Basket	Campolindo	"11 - Micah Kaufman"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:03:47	2024-01-08 00:00:22.623
18	Basket	Campolindo	"15 - Thomas Berg III"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:03:47	2024-01-08 00:00:22.623
19	Basket	Campolindo	"24 - Sean Parker"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:03:47	2024-01-08 00:00:22.623
20	Basket	Campolindo	"25 - Noah Henry"	true	2		Make	Half Court	Jumper		Defensive	""	3	00:03:47	2024-01-08 00:00:22.623
21	Basket	Campolindo	"5 - Luke Hickey"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:04:03	2024-01-08 00:00:22.623
22	Basket	Campolindo	"11 - Micah Kaufman"	true	2		Make	Half Court	Jumper		Defensive	""	3	00:04:03	2024-01-08 00:00:22.623
23	Basket	Campolindo	"15 - Thomas Berg III"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:04:03	2024-01-08 00:00:22.623
24	Basket	Campolindo	"24 - Sean Parker"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:04:03	2024-01-08 00:00:22.623
25	Basket	Campolindo	"25 - Noah Henry"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:04:03	2024-01-08 00:00:22.623
26	Basket	Campolindo	"5 - Luke Hickey"	false	3		Make	Half Court	Jumper		Defensive	""	3	00:04:49	2024-01-08 00:00:22.623
27	Basket	Campolindo	"11 - Micah Kaufman"	true	3		Make	Half Court	Jumper		Defensive	""	3	00:04:49	2024-01-08 00:00:22.623
28	Basket	Campolindo	"15 - Thomas Berg III"	false	3		Make	Half Court	Jumper		Defensive	""	3	00:04:49	2024-01-08 00:00:22.623
29	Basket	Campolindo	"24 - Sean Parker"	false	3		Make	Half Court	Jumper		Defensive	""	3	00:04:49	2024-01-08 00:00:22.623
30	Basket	Campolindo	"25 - Noah Henry"	false	3		Make	Half Court	Jumper		Defensive	""	3	00:04:49	2024-01-08 00:00:22.623
31	Basket	Campolindo	"3 - Owen Ludwig"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:06:49	2024-01-08 00:00:22.623
32	Basket	Campolindo	"11 - Micah Kaufman"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:06:49	2024-01-08 00:00:22.623
33	Basket	Campolindo	"20 - Noah Mesfin"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:06:49	2024-01-08 00:00:22.623
34	Basket	Campolindo	"40 - Thatcher Grenby"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:06:49	2024-01-08 00:00:22.623
35	Basket	Campolindo	"44 - Crosby Kelly"	true	2		Make	Half Court	Jumper		Defensive	""	3	00:06:49	2024-01-08 00:00:22.623
36	Free Throw	Campolindo	"3 - Owen Ludwig"	false	1		Make	Half Court	Jumper		Defensive	""	3	00:07:29	2024-01-08 00:00:22.623
37	Free Throw	Campolindo	"11 - Micah Kaufman"	false	1		Make	Half Court	Jumper		Defensive	""	3	00:07:29	2024-01-08 00:00:22.623
38	Free Throw	Campolindo	"20 - Noah Mesfin"	false	1		Make	Half Court	Jumper		Defensive	""	3	00:07:29	2024-01-08 00:00:22.623
39	Free Throw	Campolindo	"40 - Thatcher Grenby"	false	1		Make	Half Court	Jumper		Defensive	""	3	00:07:29	2024-01-08 00:00:22.623
40	Free Throw	Campolindo	"44 - Crosby Kelly"	true	1		Make	Half Court	Jumper		Defensive	""	3	00:07:29	2024-01-08 00:00:22.623
41	Free Throw	Campolindo	"2 - Luca Potts"	false	1		Make	Half Court	Jumper		Defensive	""	3	00:07:49	2024-01-08 00:00:22.623
42	Free Throw	Campolindo	"3 - Owen Ludwig"	false	1		Make	Half Court	Jumper		Defensive	""	3	00:07:49	2024-01-08 00:00:22.623
43	Free Throw	Campolindo	"20 - Noah Mesfin"	false	1		Make	Half Court	Jumper		Defensive	""	3	00:07:49	2024-01-08 00:00:22.623
44	Free Throw	Campolindo	"40 - Thatcher Grenby"	false	1		Make	Half Court	Jumper		Defensive	""	3	00:07:49	2024-01-08 00:00:22.623
45	Free Throw	Campolindo	"44 - Crosby Kelly"	true	1		Make	Half Court	Jumper		Defensive	""	3	00:07:49	2024-01-08 00:00:22.623
46	Basket	St. Patrick / St. Vincent	"2 - Luca Potts"	false	-1		Make	Half Court	Jumper		Defensive	"20 - Jaden"	3	00:09:57	2024-01-08 00:00:22.623
47	Basket	St. Patrick / St. Vincent	"3 - Owen Ludwig"	false	-1		Make	Half Court	Jumper		Defensive	"20 - Jaden"	3	00:09:57	2024-01-08 00:00:22.623
48	Basket	St. Patrick / St. Vincent	"20 - Noah Mesfin"	false	-1		Make	Half Court	Jumper		Defensive	"20 - Jaden"	3	00:09:57	2024-01-08 00:00:22.623
49	Basket	St. Patrick / St. Vincent	"40 - Thatcher Grenby"	false	-1		Make	Half Court	Jumper		Defensive	"20 - Jaden"	3	00:09:57	2024-01-08 00:00:22.623
50	Basket	St. Patrick / St. Vincent	"44 - Crosby Kelly"	false	-1		Make	Half Court	Jumper		Defensive	"20 - Jaden"	3	00:09:57	2024-01-08 00:00:22.623
51	Basket	St. Patrick / St. Vincent	"2 - Luca Potts"	false	-2		Make	Half Court	Jumper		Defensive	"3 - Amelio"	3	00:13:17	2024-01-08 00:00:22.623
52	Basket	St. Patrick / St. Vincent	"5 - Luke Hickey"	false	-2		Make	Half Court	Jumper		Defensive	"3 - Amelio"	3	00:13:17	2024-01-08 00:00:22.623
53	Basket	St. Patrick / St. Vincent	"20 - Noah Mesfin"	false	-2		Make	Half Court	Jumper		Defensive	"3 - Amelio"	3	00:13:17	2024-01-08 00:00:22.623
54	Basket	St. Patrick / St. Vincent	"40 - Thatcher Grenby"	false	-2		Make	Half Court	Jumper		Defensive	"3 - Amelio"	3	00:13:17	2024-01-08 00:00:22.623
55	Basket	St. Patrick / St. Vincent	"44 - Crosby Kelly"	false	-2		Make	Half Court	Jumper		Defensive	"3 - Amelio"	3	00:13:17	2024-01-08 00:00:22.623
56	Basket	Campolindo	"5 - Luke Hickey"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:14:53	2024-01-08 00:00:22.623
57	Basket	Campolindo	"11 - Micah Kaufman"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:14:53	2024-01-08 00:00:22.623
58	Basket	Campolindo	"15 - Thomas Berg III"	true	2		Make	Half Court	Jumper		Defensive	""	3	00:14:53	2024-01-08 00:00:22.623
59	Basket	Campolindo	"24 - Sean Parker"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:14:53	2024-01-08 00:00:22.623
60	Basket	Campolindo	"25 - Noah Henry"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:14:53	2024-01-08 00:00:22.623
61	Basket	Campolindo	"5 - Luke Hickey"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:15:24	2024-01-08 00:00:22.623
62	Basket	Campolindo	"11 - Micah Kaufman"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:15:24	2024-01-08 00:00:22.623
63	Basket	Campolindo	"15 - Thomas Berg III"	true	2		Make	Half Court	Jumper		Defensive	""	3	00:15:24	2024-01-08 00:00:22.623
64	Basket	Campolindo	"24 - Sean Parker"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:15:24	2024-01-08 00:00:22.623
65	Basket	Campolindo	"25 - Noah Henry"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:15:24	2024-01-08 00:00:22.623
66	Basket	Campolindo	"5 - Luke Hickey"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:17:50	2024-01-08 00:00:22.623
67	Basket	Campolindo	"11 - Micah Kaufman"	true	2		Make	Half Court	Jumper		Defensive	""	3	00:17:50	2024-01-08 00:00:22.623
68	Basket	Campolindo	"15 - Thomas Berg III"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:17:50	2024-01-08 00:00:22.623
69	Basket	Campolindo	"24 - Sean Parker"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:17:50	2024-01-08 00:00:22.623
70	Basket	Campolindo	"25 - Noah Henry"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:17:50	2024-01-08 00:00:22.623
71	Basket	Campolindo	"5 - Luke Hickey"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:18:09	2024-01-08 00:00:22.623
72	Basket	Campolindo	"11 - Micah Kaufman"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:18:09	2024-01-08 00:00:22.623
73	Basket	Campolindo	"15 - Thomas Berg III"	true	2		Make	Half Court	Jumper		Defensive	""	3	00:18:09	2024-01-08 00:00:22.623
74	Basket	Campolindo	"24 - Sean Parker"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:18:09	2024-01-08 00:00:22.623
75	Basket	Campolindo	"25 - Noah Henry"	false	2		Make	Half Court	Jumper		Defensive	""	3	00:18:09	2024-01-08 00:00:22.623
76	Basket	St. Patrick / St. Vincent	"5 - Luke Hickey"	false	-3		Make	Half Court	Jumper		Defensive	"24 - Darius"	3	00:18:39	2024-01-08 00:00:22.623
